Country,Year,Value
Australia,2010,10
Australia,2011,10
Australia,2012,10
Australia,2013,9.9
Australia,2014,9.7
Australia,2015,9.8
Australia,2016,9.5
Australia,2017,9.5
United Kingdom,2010,10.1
United Kingdom,2011,9.9
United Kingdom,2012,9.6
United Kingdom,2013,9.4
United Kingdom,2014,9.4
United Kingdom,2015,9.5
United Kingdom,2016,9.5
United Kingdom,2017,9.7
United Kingdom,2018,9.8
United Kingdom,2019,9.7
United Kingdom,2020,9.7
United Kingdom,2021,10
United States,2010,8.6
United States,2011,8.7
United States,2012,8.9
United States,2013,8.8
United States,2014,8.8
United States,2015,8.8
United States,2016,8.9
United States,2017,8.9
United States,2018,8.9
United States,2019,9
United States,2020,9.2
United States,2021,9.5
Brazil,2010,8.5
Brazil,2011,8.6
Brazil,2012,8.4
Brazil,2013,8.3
Brazil,2014,9.2
Brazil,2015,9.2
Brazil,2016,9.7
Brazil,2017,9.2
Brazil,2018,9.4
Brazil,2019,9.8
Brazil,2020,9.8
South Africa,2010,7.1
South Africa,2011,7.2
South Africa,2012,7.2
South Africa,2013,7.2
South Africa,2014,7.2
South Africa,2015,7.2
South Africa,2016,7.3
South Africa,2017,7.3
South Africa,2018,7.2
South Africa,2019,7.2
